OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,S_DQ_TRADESTATUSCODE,OPDATE,OPMODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD
7700000120,000001.SZ,20000104,CNY,17.45,17.5,18.55,17.2,18.29,0.84,4.8138,82161.0,147325.3568,378.0,379.08,401.82,372.58,396.19,21.661613,17.9313,交易,-1,2002-06-08 06:37:40,0,,,
7700000121,000001.SZ,20000105,CNY,18.29,18.35,18.85,18.0,18.06,-0.23,-1.2575,93993.0,173475.1588,396.19,397.49,408.32,389.91,391.21,21.661613,18.4562,交易,-1,2002-06-08 06:37:40,0,,,
7700000122,000001.SZ,20000106,CNY,18.06,18.02,19.05,17.75,18.78,0.72,3.9867,120222.0,221192.5105,391.21,390.34,412.65,384.49,406.81,21.661613,18.3987,交易,-1,2002-06-08 06:37:40,0,,,
7700000123,000001.SZ,20000107,CNY,18.78,19.0,19.77,18.9,19.54,0.76,4.0469,229346.0,443592.4464,406.81,411.57,428.25,409.4,423.27,21.661613,19.3416,交易,-1,2002-06-08 06:37:40,0,,,
7700000124,000001.SZ,20000110,CNY,19.54,19.79,20.48,19.77,20.14,0.6,3.0706,185211.0,372294.4957,423.27,428.68,443.63,428.25,436.26,21.661613,20.1011,交易,-1,2002-06-08 06:37:40,0,,,
7700000125,000001.SZ,20000111,CNY,20.14,20.15,20.2,18.8,19.0,-1.14,-5.6604,126663.0,245867.4873,436.26,436.48,437.56,407.24,411.57,21.661613,19.4112,交易,-1,2002-06-08 06:37:40,0,,,
7700000126,000001.SZ,20000112,CNY,19.0,19.0,19.2,18.13,18.24,-0.76,-4.0,91753.0,169418.2658,411.57,411.57,415.9,392.73,395.11,21.661613,18.4646,交易,-1,2002-06-08 06:37:40,0,,,
7700000127,000001.SZ,20000113,CNY,18.24,18.2,18.4,17.9,18.14,-0.1,-0.5482,50059.0,90723.737,395.11,394.24,398.57,387.74,392.94,21.661613,18.1234,交易,-1,2002-06-08 06:37:40,0,,,
7700000128,000001.SZ,20000114,CNY,18.14,18.14,18.39,17.75,17.88,-0.26,-1.4333,55973.0,100267.7866,392.94,392.94,398.36,384.49,387.31,21.661613,17.9136,交易,-1,2002-06-08 06:37:40,0,,,
7700000129,000001.SZ,20000117,CNY,17.88,17.9,18.1,17.5,18.08,0.2,1.1186,34501.0,61534.1974,387.31,387.74,392.08,379.08,391.64,21.661613,17.8355,交易,-1,2002-06-08 06:37:40,0,,,
7700000130,000001.SZ,20000118,CNY,18.08,18.0,18.08,17.58,17.69,-0.39,-2.1571,46564.0,82818.8276,391.64,389.91,391.64,380.81,383.19,21.661613,17.786,交易,-1,2002-06-08 06:37:40,0,,,
7700000131,000001.SZ,20000119,CNY,17.69,17.5,17.85,17.5,17.79,0.1,0.5653,37811.0,67007.2896,383.19,379.08,386.66,379.08,385.36,21.661613,17.7216,交易,-1,2002-06-08 06:37:40,0,,,
7700000132,000001.SZ,20000120,CNY,17.79,17.8,17.9,17.55,17.81,0.02,0.1124,58438.0,103508.6675,385.36,385.58,387.74,380.16,385.79,21.661613,17.7126,交易,-1,2002-06-08 06:37:40,0,,,
7700000133,000001.SZ,20000121,CNY,17.81,17.8,18.26,17.66,17.96,0.15,0.8422,86262.0,154067.4309,385.79,385.58,395.54,382.54,389.04,21.661613,17.8604,交易,-1,2002-06-08 06:37:41,0,,,
7700000134,000001.SZ,20000124,CNY,17.96,17.91,17.95,17.2,17.5,-0.46,-2.5612,112517.0,196243.5947,389.04,387.96,388.83,372.58,379.08,21.661613,17.4412,交易,-1,2002-06-08 06:37:41,0,,,
7700000135,000001.SZ,20000125,CNY,17.5,17.5,18.29,17.5,17.73,0.23,1.3143,83719.0,149259.9298,379.08,379.08,396.19,379.08,384.06,21.661613,17.8287,交易,-1,2002-06-08 06:37:41,0,,,
{DDEB73CF-3739-41D7-B9EE-823E50D0B650},000001.SZ,20000126,CNY,17.73,17.72,17.88,17.5,17.64,-0.09,-0.5076,47723.0,83862.9761,384.06,383.84,387.31,379.08,382.11,21.661613,17.5729,交易,-1,2003-04-29 16:13:39,0,,,
